[2019-04-23 10:28:06,750] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:29:54,482] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:29:54,494] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:29:54,502] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:37:13,805] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:37:13,818] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:37:13,825] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:37:56,028] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:37:56,040] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:37:56,048] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:38:03,510] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:38:03,523] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:38:03,529] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:39:26,085] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:39:26,098] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:39:26,105] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:41:08,323] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:41:08,338] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:41:08,344] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:41:41,612] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:41:41,625] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:41:41,634] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:41:51,420] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:41:51,433] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:41:51,440] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:44:42,569] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:44:42,585] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:44:42,591] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:46:04,747] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:46:04,760] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:46:04,767] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:46:19,088] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:46:19,104] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:46:19,111] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:47:18,796] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:47:18,809] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:47:18,818] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:33:25,786] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:33:25,786] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:33:25,865] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:33:26,020] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:33:26,068] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:33:26,068] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:33:26,137] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:33:26,163] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:33:31,187] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:35:36,006] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
